	0.24363	0.16693	0.18250	0.06417	0.32500	0.41273	0.14519	0.38738	0.32363	0.14625	0.13399	0.16764	0.75165	0.23711	0.16531	0.12937	0.66976	0.50865	0.70538	0.02114	0.01340	0.09208	0.34125	0.14040	0.12804	0.15671	0.24286	0.60916	0.12573	0.02068	0.25193	0.13540	0.26843	0.32063	0.15324	0.85187	0.20747	0.19636	0.13089	0.68739	0.14301	0.19208	0.01197	0.85842	0.11772	0.09896	0.30948	0.14048	0.12028	0.05904	0.12287
0.15732		0.62658	0.25004	0.01055	0.20203	0.02966	0.05909	0.20703	0.16231	0.23971	0.02908	0.72485	0.06920	0.78624	0.01225	0.17036	0.08959	0.35951	0.25216	0.09970	0.51112	0.53534	0.04569	0.25622	0.31363	0.09959	0.79981	0.09558	0.17760	0.50688	0.12783	0.51685	0.15738	0.17811	0.46967	0.12708	0.19657	0.00356	0.14762	0.11564	0.06998	0.55224	0.05380	0.15481	0.06818	0.02591	0.12975	0.13468	0.24752	0.10821	0.68681
0.12824	0.48791		0.19412	0.00741	0.28730	0.04132	0.23377	0.24103	0.17146	0.36428	0.18606	0.73598	0.11420	0.59330	0.12344	0.28600	0.06352	0.28797	0.12153	0.18142	0.64837	0.71030	0.03045	0.29306	0.52029	0.14040	0.54940	0.04523	0.29581	0.48238	0.27909	0.50984	0.19269	0.17419	0.69549	0.05311	0.21240	0.20227	0.34360	0.18939	0.21870	0.34588	0.16603	0.07420	0.40498	0.02715	0.16941	0.21396	0.17289	0.20065	0.61198
0.17516	0.32092	0.34816		0.02758	0.11626	0.08639	0.20159	0.10168	0.08288	0.86789	0.00207	0.41576	0.14931	0.09325	0.06244	0.80704	0.09850	0.03115	0.10615	0.18345	0.59213	0.29056	0.16369	0.76316	0.07659	0.14424	0.23057	0.12017	0.19711	0.44624	0.00792	0.04221	0.20277	0.23251	0.27808	0.13814	0.11056	0.14407	0.14772	0.10142	0.09878	0.08637	0.03389	0.14960	0.17014	0.00121	0.06789	0.03257	0.17036	0.11412	0.46632
0.15347	0.02736	0.04865	0.03882		0.13010	0.52299	0.07036	0.23306	0.07172	0.02964	0.21998	0.11561	0.15721	0.10485	0.14998	0.01814	0.23322	0.11242	0.05105	0.05962	0.04616	0.07720	0.41635	0.04903	0.17623	0.37738	0.10858	0.43328	0.10161	0.05997	0.25242	0.10722	0.17566	0.15079	0.08700	0.18087	0.10487	0.10199	0.22130	0.30155	0.29359	0.22408	0.62012	0.11256	0.06696	0.58238	0.14936	0.48091	0.07046	0.09560	0.05001
0.15575	0.18034	0.31231	0.01153	0.09709		0.16086	0.43391	0.37885	0.22955	0.03394	0.40307	0.33454	0.20173	0.23401	0.18823	0.08890	0.22475	0.04393	0.18267	0.54033	0.22997	0.37448	0.25681	0.09259	0.35257	0.20289	0.29553	0.14415	0.42217	0.16151	0.54237	0.38529	0.38734	0.39404	0.35854	0.14648	0.41758	0.56518	0.38029	0.09798	0.24086	0.18877	0.06534	0.17273	0.63420	0.06327	0.53967	0.03923	0.26961	0.29009	0.16380
0.57122	0.09078	0.11803	0.16968	0.38949	0.38671		0.13064	0.29579	0.02753	0.11495	0.15239	0.06644	0.52383	0.10419	0.28324	0.04986	0.39232	0.11748	0.31065	0.04336	0.02510	0.11168	0.65073	0.11673	0.12998	0.45935	0.08730	0.71198	0.06515	0.02143	0.08853	0.07934	0.07345	0.24225	0.13148	0.51983	0.00108	0.22366	0.08312	0.31923	0.19662	0.01314	0.42240	0.58104	0.12244	0.46304	0.15664	0.27407	0.01074	0.00578	0.06344
0.16474	0.05178	0.14862	0.13547	0.11960	0.35851	0.02778		0.47321	0.53789	0.17475	0.07859	0.21192	0.18514	0.10048	0.16220	0.09712	0.16101	0.20228	0.17728	0.08655	0.16007	0.15968	0.14201	0.07312	0.11566	0.01295	0.02390	0.20291	0.44509	0.13114	0.31192	0.11978	0.40046	0.46304	0.24338	0.17132	0.32280	0.66174	0.17045	0.23920	0.02899	0.02971	0.08244	0.24708	0.40287	0.06441	0.30809	0.06202	0.25322	0.24743	0.00065
0.23186	0.18296	0.33663	0.23606	0.11565	0.40832	0.09036	0.50774		0.49183	0.22213	0.23667	0.30851	0.31825	0.16083	0.02436	0.17052	0.32185	0.21715	0.34555	0.31361	0.26638	0.28720	0.16720	0.17314	0.19708	0.14148	0.18713	0.15729	0.43160	0.11067	0.44260	0.18470	0.58498	0.56112	0.34049	0.27391	0.35063	0.64866	0.40709	0.28002	0.19072	0.11037	0.10778	0.28431	0.58097	0.06848	0.46829	0.14082	0.30968	0.31906	0.15162
0.23581	0.19013	0.25561	0.05070	0.07636	0.40710	0.00850	0.54447	0.68724		0.07180	0.07621	0.25894	0.24609	0.23025	0.01633	0.01112	0.24128	0.16606	0.18432	0.23254	0.23774	0.21641	0.07904	0.03117	0.15260	0.02834	0.24294	0.19578	0.38077	0.08803	0.35581	0.21691	0.20702	0.48785	0.25228	0.26465	0.38614	0.53864	0.27309	0.28582	0.07923	0.09256	0.01336	0.24030	0.46589	0.07314	0.36238	0.06886	0.38267	0.44822	0.17273
0.11048	0.24885	0.45197	0.90803	0.01883	0.16373	0.05690	0.21373	0.07655	0.01904		0.07007	0.50433	0.17684	0.06982	0.09463	0.83923	0.05430	0.01368	0.09075	0.20450	0.67246	0.35532	0.13305	0.71928	0.16314	0.16708	0.16890	0.11347	0.26932	0.41552	0.05741	0.01311	0.13513	0.14756	0.37119	0.11130	0.05260	0.14967	0.21007	0.02152	0.15346	0.15489	0.06782	0.13243	0.25749	0.02144	0.05735	0.08173	0.08206	0.04635	0.42622
0.08765	0.13101	0.18811	0.06982	0.51143	0.31291	0.35328	0.06757	0.12256	0.12717	0.14608		0.19039	0.15605	0.11353	0.17743	0.09440	0.08569	0.30489	0.29819	0.33049	0.23036	0.20336	0.27030	0.04762	0.24542	0.31065	0.19206	0.10806	0.31050	0.07356	0.54185	0.14221	0.26462	0.00039	0.12901	0.02654	0.43138	0.15584	0.62764	0.03151	0.62829	0.22474	0.55444	0.13423	0.43964	0.33052	0.46792	0.65459	0.12592	0.20599	0.04534
0.15191	0.58481	0.77497	0.26750	0.04453	0.40402	0.10259	0.23569	0.22881	0.12491	0.35925	0.17471		0.16417	0.64369	0.03319	0.34866	0.09186	0.26124	0.23308	0.27890	0.74614	0.75829	0.03178	0.37120	0.63950	0.04244	0.79192	0.04201	0.28490	0.52292	0.32253	0.74992	0.30265	0.28874	0.81071	0.09660	0.26915	0.31884	0.38041	0.07306	0.16179	0.53255	0.00815	0.12812	0.37653	0.00204	0.22917	0.06329	0.20707	0.18755	0.65896
0.81822	0.25697	0.19546	0.22954	0.01152	0.35256	0.40703	0.12868	0.42132	0.24671	0.21172	0.16698	0.16111		0.26870	0.06151	0.18067	0.68914	0.57631	0.79818	0.02292	0.01439	0.17184	0.47925	0.19117	0.17759	0.25899	0.25220	0.55747	0.10435	0.03560	0.24324	0.17874	0.30783	0.33265	0.17748	0.77817	0.16607	0.26877	0.17433	0.60799	0.18100	0.30520	0.06404	0.83266	0.17302	0.03742	0.39429	0.14184	0.07971	0.05686	0.12174
0.23081	0.77923	0.64372	0.04185	0.02924	0.26117	0.09074	0.06049	0.23998	0.24494	0.00087	0.14044	0.64790	0.15252		0.09602	0.07412	0.11325	0.38628	0.30470	0.18994	0.32971	0.47793	0.08177	0.14676	0.31104	0.00983	0.87658	0.08697	0.18360	0.40513	0.27530	0.68283	0.12658	0.24665	0.41130	0.15891	0.20865	0.13296	0.23206	0.12392	0.15510	0.65569	0.05683	0.21623	0.29178	0.03473	0.21953	0.13703	0.15480	0.23377	0.52100
0.26840	0.16814	0.10468	0.13460	0.01306	0.35397	0.14980	0.40388	0.08602	0.19907	0.13500	0.04142	0.10759	0.29221	0.09703		0.09296	0.15122	0.16912	0.19645	0.17301	0.12813	0.07464	0.18255	0.06703	0.01845	0.19208	0.10443	0.17232	0.29421	0.06036	0.05821	0.01855	0.42152	0.66634	0.16654	0.27902	0.24573	0.37267	0.17797	0.09383	0.11196	0.00284	0.06348	0.31779	0.22503	0.04039	0.00617	0.11990	0.26306	0.01459	0.16237
